player,age,pos,team,g,mp,ws,vorp,salary,salary_m,ws_per_m
Michael Porter Jr.,27,SF,BRK,52,1689,2.9,2.1,38333050,38.33305,0.07565273308541845
Luke Kennard,29,SG,2TM,78,1681,4.5,0.9,11000000,11,0.4090909090909091
Cameron Johnson,29,SF,DEN,54,1647,3.7,0.6,21057065,21.057065,0.17571299703923599
Brook Lopez,37,C,LAC,75,1635,2.3,0.5,8750000,8.75,0.26285714285714284
Will Riley,19,SF,WAS,74,1633,0.4,-1,3512520,3.51252,0.11387835514103835
Cody Williams,21,SG,UTA,67,1631,0.1,-1.5,5742480,5.74248,0.017414078934536996
Bennedict Mathurin,23,SF,2TM,54,1620,2.1,-0.2,9187573,9.187573,0.22856961245369153
Bobby Portis,30,PF,MIL,67,1619,2.8,0.8,13445754,13.445754,0.208244178794287
Collin Sexton,27,SG,2TM,68,1614,3.9,1.1,18975000,18.975,0.20553359683794464
Cedric Coward,22,SG,MEM,62,1598,2.5,0.7,5715120,5.71512,0.43743613432438866
Peyton Watson,23,SF,DEN,54,1598,2.6,0.3,4356476,4.356476,0.5968126531627858
Herbert Jones,27,SF,NOP,56,1588,0.7,-0.5,13937574,13.937574,0.05022394858674831
Jalen Suggs,24,PG,ORL,57,1574,2.7,1.8,35000000,35,0.07714285714285715
Kelly Oubre Jr.,30,SF,PHI,50,1574,2.7,0.2,8382150,8.38215,0.32211306168465137
Jordan Goodwin,27,PG,PHO,70,1572,3.9,1.5,2349578,2.349578,1.6598725388133526
Jrue Holiday,35,PG,POR,53,1560,3.6,1.6,32400000,32.4,0.11111111111111112
Dylan Harper,19,SG,SAS,69,1558,4.2,1.3,12370320,12.37032,0.3395223405700095
Ron Holland,20,SF,DET,78,1551,2.8,0,8657280,8.65728,0.3234272196348044
Tari Eason,24,PF,HOU,60,1549,2.9,0.2,5675766,5.675766,0.510944249639608
Kevin Huerter,27,SF,2TM,69,1549,2.5,0.6,17991071,17.991071,0.13895781968733267
Moses Moody,23,SG,GSW,60,1540,3.1,0.7,11574075,11.574075,0.26783997857280173
Terance Mann,29,SG,BRK,63,1529,1.8,-0.6,15500000,15.5,0.11612903225806452
Jarrett Allen,27,C,CLE,56,1519,6.4,1.8,20000000,20,0.32
Isaiah Collier,21,PG,UTA,59,1517,1.7,-0.2,2638200,2.6382,0.6443787430824047
