term,Estimate,Std..Error,t.value,Pr...t..
(Intercept),1.8957014958414697,0.1087580726432695,17.430444009976533,2.6733436742728174e-46
vorp,0.34046702242551785,0.03815784622467925,8.922595379749575,6.678722515702163e-17
age_group24 and under,-0.47532024935137607,0.12289238990245908,-3.867776106629894,1.372765350580405e-4
age_group30 and over,0.5181017898721816,0.1447965128535057,3.578137205530345,4.090876697771631e-4
